EP001PR;0.91;1.02;0.98;122
EP002PR;0.91;1.02;0.98;122
EQ001PR;0.53;0.67;0.70;48
EQ002PR;0.8;1.18;1.16;175
EQ004PR;1.2;1.18;1.16;220
EQ005PR;0.8;0.56;0.86;87
EQ006PR;0.80;0.56;0.86;110
EQ007PR;1.45;1.14;0.85;225
EQ008PR;1.01;0.74;0.68;80
EQ009PR;1.4;1.18;1.16;225
EQ012PR;0.8;1.18;1.16;175
EQ013PR;1.27;0.92;0.96;54
EQ015PR;1.4;1.18;1.16;275
EQ019PR;1.36;0.92;0.96;58
EQ020PR;1.94;0.92;0.96;60
EQ023PR;0.82;0.55;0.90;115
EQ026PR;1.94;0.92;0.96;240
EQ029PR;0.80;0.42;0.81;87
EQ030PR;1.4;1.14;1.39;266
EQ032PR;1.6;0.6;0.80;125
EQ034PR;0.82;0.55;0.90;115
EQ035PR;0.80;0.42;0.81;87
EQ036PR;0.72;0.76;0.76;78
IC262G;1.18;1.5;0.81;134
IC263G;1.25;0.84;0.73;50
IC264G;1.50;1.5;0.8;133
IC265G;1.25;1.5;0.70;130
IC266G;2.08;1.39;0.97;260
IC267G;0.95;0.67;0.75;65
EQ010V         ;0.32;1.1;0.64;58.7
EQ011V         ;0.270;1.032;0.660;78.3
EQ012V         ;0.200;0.550;0.310;3.6
EQ013V         ;0.210;0.570;0.570;6.8
EQ014V         ;0.230;0.510;0.340;3.3
EQ015V         ;0.220;0.600;0.550;8.1
EQ123V         ;0.560;0.430;0.540;16.9
EQ284V         ;0.380;1.340;0.940;145
EQ286V         ;0.420;0.900;0.700;94
EQ287V         ;0.480;1.000;0.760;129
EQ030V         ;0.280;1.050;0.660;80.1
EQ031V         ;0.425;1.340;0.910;119
EQ288V         ;0.420;0.900;0.700;94.9
EQ289V         ;0.420;1.000;0.860;129
EQ132V         ;0.190;0.660;0.420;10.3
EQ902V         ;0.420;1.020;0.910;98
EQ903V         ;0.410;0.930;0.730;77
EQ008V         ;0.200;0.550;0.310;3.6
EQ009V         ;0.210;0.570;0.570;6.8
EQ006V         ;0.310;0.760;0.640;43.1
EQ007V         ;0.270;0.920;0.645;49.9
EQ115V         ;0.420;0.900;0.700;77
EQ290V         ;0.440;0.860;0.550;71.2
EQ120V         ;0.430;0.920;0.570;48.9
EQ291V         ;0.380;1.340;0.940;145
