EQ010V         ;0.32;1.1;0.64;0.22528;58.7
EQ011V         ;0.270;1.032;0.660;0.1839024;78.3
EQ012V         ;0.200;0.550;0.310;0.0341;3.6
EQ013V         ;0.210;0.570;0.570;0.068229;6.8
EQ014V         ;0.230;0.510;0.340;0.039882;3.3
EQ015V         ;0.220;0.600;0.550;0.0726;8.1
EQ123V         ;0.560;0.430;0.540;0.130032;16.9
EQ284V         ;0.380;1.340;0.940;0.478648;145
EQ286V         ;0.420;0.900;0.700;0.2646;94
EQ287V         ;0.480;1.000;0.760;0.3648;129
EQ030V         ;0.280;1.050;0.660;0.19404;80.1
EQ031V         ;0.425;1.340;0.910;0.518245;119
EQ288V         ;0.420;0.900;0.700;0.2646;94.9
EQ289V         ;0.420;1.000;0.860;0.3612;129
EQ132V         ;0.190;0.660;0.420;0.052668;10.3
EQ902V         ;0.420;1.020;0.910;0.389844;98
EQ903V         ;0.410;0.930;0.730;0.278349;77
EQ008V         ;0.200;0.550;0.310;0.0341;3.6
EQ009V         ;0.210;0.570;0.570;0.068229;6.8
EQ006V         ;0.310;0.760;0.640;0.150784;43.1
EQ007V         ;0.270;0.920;0.645;0.160218;49.9
EQ115V         ;0.420;0.900;0.700;0.2646;77
EQ290V         ;0.440;0.860;0.550;0.20812;71.2
EQ120V         ;0.430;0.920;0.570;0.225492;48.9
EQ291V         ;0.380;1.340;0.940;0.478648;145
